search_id,session_id,query,results_count,search_timestamp
search_000096,session_000096,cadeau anniversaire,50,2025-10-08 08:51:47
search_000097,session_000097,équipement fitness,69,2025-10-08 08:49:06
search_000098,session_000098,cadeau anniversaire,27,2025-10-08 08:51:05
search_000099,session_000099,cadeau anniversaire,72,2025-10-08 08:51:34
search_000100,session_000100,ordinateur portable,24,2025-10-08 08:50:09
search_000101,session_000101,smartphone pas cher,78,2025-10-08 08:50:15
search_000102,session_000102,vêtement été,92,2025-10-08 08:50:10
search_000103,session_000103,jeux enfants,31,2025-10-08 08:51:42
search_000104,session_000104,décoration maison,13,2025-10-08 08:50:20
search_000105,session_000105,ordinateur portable,12,2025-10-08 08:51:06
search_000106,session_000106,équipement fitness,51,2025-10-08 08:51:16
search_000107,session_000107,ordinateur portable,67,2025-10-08 08:51:09
search_000109,session_000109,ordinateur portable,76,2025-10-08 08:51:17
search_000111,session_000111,chaussures sport,39,2025-10-08 08:50:33
search_000112,session_000112,équipement fitness,34,2025-10-08 08:49:36
search_000114,session_000114,équipement fitness,77,2025-10-08 08:50:58
search_000115,session_000115,smartphone pas cher,20,2025-10-08 08:50:19
search_000116,session_000116,meuble salon,99,2025-10-08 08:50:25
search_000117,session_000117,livre roman,13,2025-10-08 08:50:58
search_000118,session_000118,jeux enfants,39,2025-10-08 08:51:01
search_000119,session_000119,smartphone pas cher,46,2025-10-08 08:50:54
search_000120,session_000120,équipement fitness,14,2025-10-08 08:51:42
search_000122,session_000122,smartphone pas cher,62,2025-10-08 08:51:33
search_000123,session_000123,livre roman,87,2025-10-08 08:51:26
search_000124,session_000124,équipement fitness,25,2025-10-08 08:50:13
search_000126,session_000126,équipement fitness,76,2025-10-08 08:50:07
search_000127,session_000127,ordinateur portable,61,2025-10-08 08:51:31
search_000128,session_000128,vêtement été,67,2025-10-08 08:49:02
search_000130,session_000130,cosmétique bio,86,2025-10-08 08:50:23
search_000137,session_000137,chaussures sport,95,2025-10-08 08:51:00
search_000139,session_000139,équipement fitness,52,2025-10-08 08:50:18
search_000141,session_000141,chaussures sport,60,2025-10-08 08:49:55
search_000142,session_000142,livre roman,7,2025-10-08 08:50:35
search_000144,session_000144,livre roman,68,2025-10-08 08:49:54
search_000145,session_000145,équipement fitness,12,2025-10-08 08:51:41
search_000147,session_000147,équipement fitness,97,2025-10-08 08:50:58
search_000148,session_000148,cadeau anniversaire,92,2025-10-08 08:49:29
search_000149,session_000149,cadeau anniversaire,87,2025-10-08 08:50:39
search_000151,session_000151,smartphone pas cher,6,2025-10-08 08:51:31
search_000152,session_000152,vêtement été,52,2025-10-08 08:51:42
search_000153,session_000153,cadeau anniversaire,58,2025-10-08 08:50:41
search_000154,session_000154,smartphone pas cher,33,2025-10-08 08:51:48
search_000156,session_000156,vêtement été,65,2025-10-08 08:50:43
search_000157,session_000157,cadeau anniversaire,16,2025-10-08 08:50:10
search_000158,session_000158,chaussures sport,46,2025-10-08 08:51:01
search_000160,session_000160,ordinateur portable,6,2025-10-08 08:51:38
search_000162,session_000162,smartphone pas cher,71,2025-10-08 08:51:17
search_000164,session_000164,smartphone pas cher,29,2025-10-08 08:51:28
search_000165,session_000165,ordinateur portable,38,2025-10-08 08:49:03
search_000166,session_000166,équipement fitness,84,2025-10-08 08:50:35
search_000167,session_000167,smartphone pas cher,76,2025-10-08 08:49:41
search_000169,session_000169,décoration maison,51,2025-10-08 08:48:55
search_000170,session_000170,équipement fitness,88,2025-10-08 08:50:32
search_000172,session_000172,vêtement été,42,2025-10-08 08:51:13
search_000173,session_000173,livre roman,31,2025-10-08 08:51:06
search_000174,session_000174,meuble salon,41,2025-10-08 08:50:39
search_000175,session_000175,meuble salon,6,2025-10-08 08:51:28
search_000177,session_000177,livre roman,94,2025-10-08 08:49:59
search_000178,session_000178,équipement fitness,9,2025-10-08 08:49:29
search_000179,session_000179,vêtement été,47,2025-10-08 08:51:04
search_000180,session_000180,vêtement été,48,2025-10-08 08:49:16
search_000181,session_000181,ordinateur portable,32,2025-10-08 08:51:12
search_000182,session_000182,jeux enfants,13,2025-10-08 08:51:04
search_000183,session_000183,vêtement été,98,2025-10-08 08:49:01
search_000184,session_000184,smartphone pas cher,79,2025-10-08 08:50:13
search_000185,session_000185,cosmétique bio,70,2025-10-08 08:49:29
search_000187,session_000187,meuble salon,26,2025-10-08 08:51:40
search_000188,session_000188,équipement fitness,19,2025-10-08 08:50:36
search_000191,session_000191,cosmétique bio,19,2025-10-08 08:51:39
search_000192,session_000192,ordinateur portable,75,2025-10-08 08:50:59
search_000193,session_000193,livre roman,18,2025-10-08 08:50:27
search_000194,session_000194,cadeau anniversaire,24,2025-10-08 08:50:43
search_000195,session_000195,jeux enfants,22,2025-10-08 08:51:01
search_000196,session_000196,jeux enfants,18,2025-10-08 08:49:14
search_000197,session_000197,équipement fitness,58,2025-10-08 08:51:04
search_000199,session_000199,ordinateur portable,61,2025-10-08 08:49:22
search_000200,session_000200,cadeau anniversaire,45,2025-10-08 08:50:46
search_000201,session_000201,chaussures sport,74,2025-10-08 08:50:26
search_000202,session_000202,équipement fitness,93,2025-10-08 08:50:46
search_000203,session_000203,équipement fitness,85,2025-10-08 08:48:54
search_000204,session_000204,meuble salon,67,2025-10-08 08:50:43
search_000205,session_000205,livre roman,20,2025-10-08 08:51:12
search_000207,session_000207,livre roman,99,2025-10-08 08:50:53
search_000208,session_000208,vêtement été,50,2025-10-08 08:50:07
search_000209,session_000209,ordinateur portable,85,2025-10-08 08:49:46
search_000210,session_000210,vêtement été,73,2025-10-08 08:51:02
search_000211,session_000211,décoration maison,60,2025-10-08 08:50:24
search_000213,session_000213,smartphone pas cher,7,2025-10-08 08:51:00
search_000214,session_000214,smartphone pas cher,58,2025-10-08 08:51:48
search_000216,session_000216,smartphone pas cher,34,2025-10-08 08:50:30
search_000217,session_000217,ordinateur portable,27,2025-10-08 08:49:35
search_000218,session_000218,smartphone pas cher,88,2025-10-08 08:49:57
search_000222,session_000222,meuble salon,19,2025-10-08 08:51:44
search_000223,session_000223,décoration maison,38,2025-10-08 08:50:22
search_000225,session_000225,décoration maison,56,2025-10-08 08:49:37
search_000226,session_000226,jeux enfants,21,2025-10-08 08:49:21
search_000227,session_000227,cadeau anniversaire,81,2025-10-08 08:49:15
search_000229,session_000229,équipement fitness,48,2025-10-08 08:51:20
search_000230,session_000230,jeux enfants,38,2025-10-08 08:49:35
search_000231,session_000231,cosmétique bio,64,2025-10-08 08:48:58
search_000233,session_000233,livre roman,21,2025-10-08 08:51:09
search_000234,session_000234,chaussures sport,55,2025-10-08 08:50:43
search_000235,session_000235,livre roman,47,2025-10-08 08:49:33
search_000236,session_000236,livre roman,11,2025-10-08 08:50:28
search_000237,session_000237,cadeau anniversaire,7,2025-10-08 08:48:49
search_000238,session_000238,ordinateur portable,21,2025-10-08 08:51:14
search_000239,session_000239,cadeau anniversaire,40,2025-10-08 08:49:28
search_000240,session_000240,chaussures sport,90,2025-10-08 08:49:45
search_000241,session_000241,livre roman,44,2025-10-08 08:49:45
search_000242,session_000242,jeux enfants,18,2025-10-08 08:50:30
search_000243,session_000243,ordinateur portable,21,2025-10-08 08:49:04
search_000244,session_000244,équipement fitness,80,2025-10-08 08:50:59
search_000245,session_000245,meuble salon,73,2025-10-08 08:49:33
search_000247,session_000247,livre roman,64,2025-10-08 08:49:53
search_000248,session_000248,cadeau anniversaire,92,2025-10-08 08:50:43
search_000249,session_000249,équipement fitness,69,2025-10-08 08:49:07
search_000250,session_000250,cosmétique bio,46,2025-10-08 08:48:50
search_000251,session_000251,cadeau anniversaire,8,2025-10-08 08:49:32
search_000253,session_000253,cosmétique bio,59,2025-10-08 08:49:42
search_000254,session_000254,smartphone pas cher,67,2025-10-08 08:49:28
search_000255,session_000255,décoration maison,64,2025-10-08 08:49:40
search_000257,session_000257,livre roman,8,2025-10-08 08:49:52
search_000258,session_000258,ordinateur portable,7,2025-10-08 08:49:36
search_000259,session_000259,cosmétique bio,17,2025-10-08 08:49:37
search_000260,session_000260,smartphone pas cher,15,2025-10-08 08:51:16
search_000261,session_000261,smartphone pas cher,95,2025-10-08 08:49:23
search_000262,session_000262,smartphone pas cher,84,2025-10-08 08:51:11
search_000263,session_000263,smartphone pas cher,5,2025-10-08 08:50:47
search_000264,session_000264,cosmétique bio,49,2025-10-08 08:49:51
search_000269,session_000269,équipement fitness,24,2025-10-08 08:50:37
search_000271,session_000271,vêtement été,94,2025-10-08 08:50:55
search_000272,session_000272,smartphone pas cher,79,2025-10-08 08:51:49
search_000273,session_000273,cadeau anniversaire,85,2025-10-08 08:50:51
search_000274,session_000274,meuble salon,25,2025-10-08 08:49:53
search_000275,session_000275,jeux enfants,25,2025-10-08 08:49:28
search_000277,session_000277,meuble salon,98,2025-10-08 08:49:02
search_000279,session_000279,meuble salon,28,2025-10-08 08:49:24
search_000281,session_000281,vêtement été,83,2025-10-08 08:51:29
search_000282,session_000282,décoration maison,25,2025-10-08 08:50:11
search_000283,session_000283,livre roman,32,2025-10-08 08:50:34
search_000284,session_000284,décoration maison,38,2025-10-08 08:50:18
search_000285,session_000285,smartphone pas cher,70,2025-10-08 08:49:00
search_000288,session_000288,chaussures sport,15,2025-10-08 08:48:51
search_000289,session_000289,cosmétique bio,56,2025-10-08 08:49:18
search_000290,session_000290,cadeau anniversaire,18,2025-10-08 08:51:42
search_000291,session_000291,meuble salon,48,2025-10-08 08:50:50
search_000292,session_000292,cosmétique bio,52,2025-10-08 08:49:08
search_000293,session_000293,meuble salon,99,2025-10-08 08:48:58
search_000294,session_000294,livre roman,87,2025-10-08 08:50:18
search_000295,session_000295,jeux enfants,39,2025-10-08 08:50:48
search_000297,session_000297,meuble salon,39,2025-10-08 08:51:04
search_000301,session_000301,meuble salon,34,2025-10-08 08:51:44
search_000304,session_000304,chaussures sport,77,2025-10-08 08:50:03
search_000305,session_000305,vêtement été,34,2025-10-08 08:49:12
search_000306,session_000306,décoration maison,30,2025-10-08 08:51:39
search_000310,session_000310,meuble salon,48,2025-10-08 08:51:33
search_000311,session_000311,jeux enfants,87,2025-10-08 08:50:19
search_000313,session_000313,décoration maison,44,2025-10-08 08:51:42
search_000315,session_000315,vêtement été,87,2025-10-08 08:50:28
search_000317,session_000317,chaussures sport,33,2025-10-08 08:48:55
search_000318,session_000318,meuble salon,95,2025-10-08 08:50:45
search_000319,session_000319,ordinateur portable,98,2025-10-08 08:51:45
search_000320,session_000320,chaussures sport,66,2025-10-08 08:51:08
search_000321,session_000321,équipement fitness,22,2025-10-08 08:51:29
search_000325,session_000325,jeux enfants,81,2025-10-08 08:49:06
search_000327,session_000327,meuble salon,26,2025-10-08 08:50:51
search_000329,session_000329,vêtement été,66,2025-10-08 08:51:12
search_000330,session_000330,meuble salon,85,2025-10-08 08:49:39
search_000334,session_000334,équipement fitness,22,2025-10-08 08:50:24
search_000335,session_000335,chaussures sport,72,2025-10-08 08:50:33
search_000338,session_000338,livre roman,42,2025-10-08 08:49:27
search_000339,session_000339,jeux enfants,90,2025-10-08 08:51:03
search_000340,session_000340,chaussures sport,64,2025-10-08 08:49:29
search_000341,session_000341,ordinateur portable,69,2025-10-08 08:51:21
search_000343,session_000343,ordinateur portable,70,2025-10-08 08:51:06
search_000345,session_000345,ordinateur portable,6,2025-10-08 08:51:21
search_000346,session_000346,vêtement été,6,2025-10-08 08:49:01
search_000348,session_000348,décoration maison,36,2025-10-08 08:49:26
search_000349,session_000349,vêtement été,46,2025-10-08 08:48:50
search_000350,session_000350,cadeau anniversaire,84,2025-10-08 08:49:45
search_000351,session_000351,meuble salon,96,2025-10-08 08:48:51
search_000352,session_000352,chaussures sport,51,2025-10-08 08:51:39
search_000353,session_000353,cadeau anniversaire,35,2025-10-08 08:50:06
search_000354,session_000354,cosmétique bio,77,2025-10-08 08:50:34
search_000355,session_000355,livre roman,59,2025-10-08 08:50:11
search_000359,session_000359,livre roman,25,2025-10-08 08:48:53
search_000360,session_000360,ordinateur portable,39,2025-10-08 08:50:24
search_000361,session_000361,livre roman,81,2025-10-08 08:50:29
search_000362,session_000362,cosmétique bio,50,2025-10-08 08:50:32
search_000363,session_000363,équipement fitness,17,2025-10-08 08:49:26
search_000364,session_000364,vêtement été,75,2025-10-08 08:48:50
search_000365,session_000365,vêtement été,74,2025-10-08 08:51:20
search_000366,session_000366,ordinateur portable,31,2025-10-08 08:51:01
search_000367,session_000367,ordinateur portable,11,2025-10-08 08:50:23
search_000368,session_000368,jeux enfants,78,2025-10-08 08:50:02
search_000369,session_000369,smartphone pas cher,76,2025-10-08 08:49:59
search_000370,session_000370,cosmétique bio,19,2025-10-08 08:50:05
search_000371,session_000371,cosmétique bio,34,2025-10-08 08:49:54
search_000374,session_000374,meuble salon,22,2025-10-08 08:51:44
search_000375,session_000375,smartphone pas cher,39,2025-10-08 08:51:37
search_000376,session_000376,cadeau anniversaire,65,2025-10-08 08:50:19
search_000378,session_000378,cadeau anniversaire,70,2025-10-08 08:49:20
search_000379,session_000379,meuble salon,69,2025-10-08 08:50:46
search_000380,session_000380,meuble salon,38,2025-10-08 08:50:27
search_000381,session_000381,décoration maison,33,2025-10-08 08:50:34
search_000385,session_000385,jeux enfants,17,2025-10-08 08:49:26
search_000387,session_000387,cosmétique bio,80,2025-10-08 08:49:11
search_000388,session_000388,meuble salon,40,2025-10-08 08:50:13
search_000389,session_000389,décoration maison,16,2025-10-08 08:50:28
search_000390,session_000390,cosmétique bio,35,2025-10-08 08:49:29
search_000391,session_000391,cadeau anniversaire,82,2025-10-08 08:51:15
search_000393,session_000393,cosmétique bio,74,2025-10-08 08:51:42
search_000395,session_000395,décoration maison,75,2025-10-08 08:51:16
search_000396,session_000396,cosmétique bio,74,2025-10-08 08:49:49
search_000398,session_000398,ordinateur portable,70,2025-10-08 08:51:21
search_000399,session_000399,livre roman,57,2025-10-08 08:51:31
search_000400,session_000400,livre roman,91,2025-10-08 08:51:24
search_000402,session_000402,équipement fitness,73,2025-10-08 08:49:23
search_000405,session_000405,ordinateur portable,18,2025-10-08 08:50:28
search_000406,session_000406,smartphone pas cher,86,2025-10-08 08:49:17
search_000409,session_000409,ordinateur portable,6,2025-10-08 08:49:50
search_000410,session_000410,smartphone pas cher,71,2025-10-08 08:50:11
search_000411,session_000411,cosmétique bio,21,2025-10-08 08:51:44
search_000413,session_000413,cosmétique bio,92,2025-10-08 08:50:38
search_000414,session_000414,meuble salon,49,2025-10-08 08:49:30
search_000415,session_000415,smartphone pas cher,70,2025-10-08 08:49:32
search_000416,session_000416,jeux enfants,6,2025-10-08 08:49:56
search_000417,session_000417,vêtement été,43,2025-10-08 08:50:57
search_000419,session_000419,vêtement été,18,2025-10-08 08:50:37
search_000420,session_000420,livre roman,8,2025-10-08 08:50:54
search_000422,session_000422,cadeau anniversaire,53,2025-10-08 08:49:57
search_000424,session_000424,chaussures sport,49,2025-10-08 08:49:55
search_000425,session_000425,jeux enfants,76,2025-10-08 08:49:10
search_000426,session_000426,cosmétique bio,28,2025-10-08 08:50:33
search_000428,session_000428,équipement fitness,80,2025-10-08 08:50:32
search_000430,session_000430,cosmétique bio,35,2025-10-08 08:51:23
search_000431,session_000431,cadeau anniversaire,93,2025-10-08 08:50:21
search_000432,session_000432,décoration maison,96,2025-10-08 08:51:13
search_000433,session_000433,décoration maison,23,2025-10-08 08:50:18
search_000436,session_000436,meuble salon,47,2025-10-08 08:51:02
search_000437,session_000437,jeux enfants,38,2025-10-08 08:51:10
search_000438,session_000438,meuble salon,12,2025-10-08 08:49:09
search_000439,session_000439,cosmétique bio,46,2025-10-08 08:50:55
search_000440,session_000440,vêtement été,50,2025-10-08 08:49:57
search_000441,session_000441,cosmétique bio,57,2025-10-08 08:49:58
search_000443,session_000443,jeux enfants,70,2025-10-08 08:51:45
search_000444,session_000444,meuble salon,58,2025-10-08 08:51:47
search_000445,session_000445,livre roman,87,2025-10-08 08:51:07
search_000446,session_000446,équipement fitness,6,2025-10-08 08:49:24
search_000447,session_000447,livre roman,25,2025-10-08 08:50:58
search_000448,session_000448,vêtement été,59,2025-10-08 08:51:23
search_000449,session_000449,cadeau anniversaire,16,2025-10-08 08:49:34
search_000450,session_000450,cadeau anniversaire,88,2025-10-08 08:50:19
search_000451,session_000451,jeux enfants,45,2025-10-08 08:49:55
search_000452,session_000452,livre roman,93,2025-10-08 08:50:33
search_000453,session_000453,décoration maison,13,2025-10-08 08:49:33
search_000454,session_000454,smartphone pas cher,13,2025-10-08 08:51:10
search_000455,session_000455,chaussures sport,31,2025-10-08 08:50:48
search_000456,session_000456,ordinateur portable,19,2025-10-08 08:49:49
search_000458,session_000458,cosmétique bio,63,2025-10-08 08:50:40
search_000459,session_000459,vêtement été,90,2025-10-08 08:50:09
search_000460,session_000460,ordinateur portable,78,2025-10-08 08:49:50
search_000461,session_000461,vêtement été,19,2025-10-08 08:49:24
search_000464,session_000464,ordinateur portable,90,2025-10-08 08:49:49
search_000465,session_000465,ordinateur portable,20,2025-10-08 08:51:34
search_000466,session_000466,meuble salon,78,2025-10-08 08:49:58
search_000467,session_000467,cadeau anniversaire,77,2025-10-08 08:49:44
search_000468,session_000468,livre roman,54,2025-10-08 08:50:25
search_000469,session_000469,livre roman,18,2025-10-08 08:48:51
search_000471,session_000471,smartphone pas cher,62,2025-10-08 08:49:31
search_000473,session_000473,ordinateur portable,36,2025-10-08 08:51:00
search_000474,session_000474,vêtement été,75,2025-10-08 08:50:59
search_000475,session_000475,meuble salon,75,2025-10-08 08:51:24
search_000478,session_000478,équipement fitness,37,2025-10-08 08:49:49
search_000479,session_000479,ordinateur portable,59,2025-10-08 08:50:39
search_000480,session_000480,jeux enfants,73,2025-10-08 08:49:14
search_000481,session_000481,livre roman,41,2025-10-08 08:51:21
search_000482,session_000482,décoration maison,91,2025-10-08 08:50:30
search_000483,session_000483,chaussures sport,21,2025-10-08 08:50:40
search_000484,session_000484,équipement fitness,9,2025-10-08 08:51:01
search_000485,session_000485,vêtement été,48,2025-10-08 08:49:25
search_000486,session_000486,décoration maison,84,2025-10-08 08:49:28
search_000487,session_000487,cosmétique bio,97,2025-10-08 08:49:32
search_000488,session_000488,vêtement été,6,2025-10-08 08:50:04
search_000489,session_000489,équipement fitness,36,2025-10-08 08:50:41
search_000490,session_000490,jeux enfants,35,2025-10-08 08:49:09
search_000492,session_000492,vêtement été,48,2025-10-08 08:49:08
search_000493,session_000493,chaussures sport,70,2025-10-08 08:49:15
search_000494,session_000494,cosmétique bio,19,2025-10-08 08:51:40
search_000495,session_000495,meuble salon,6,2025-10-08 08:50:09
search_000496,session_000496,vêtement été,25,2025-10-08 08:49:28
search_000498,session_000498,vêtement été,78,2025-10-08 08:49:39
search_000499,session_000499,chaussures sport,28,2025-10-08 08:49:00
search_000501,session_000501,décoration maison,39,2025-10-08 08:50:23
search_000502,session_000502,smartphone pas cher,33,2025-10-08 08:50:12
search_000505,session_000505,cadeau anniversaire,70,2025-10-08 08:49:50
search_000506,session_000506,jeux enfants,41,2025-10-08 08:50:38
search_000507,session_000507,ordinateur portable,52,2025-10-08 08:49:59
search_000508,session_000508,équipement fitness,46,2025-10-08 08:49:35
search_000510,session_000510,vêtement été,78,2025-10-08 08:48:53
search_000511,session_000511,jeux enfants,72,2025-10-08 08:50:03
search_000513,session_000513,décoration maison,20,2025-10-08 08:50:50
search_000514,session_000514,ordinateur portable,73,2025-10-08 08:51:31
search_000518,session_000518,jeux enfants,85,2025-10-08 08:48:53
search_000519,session_000519,meuble salon,60,2025-10-08 08:50:53
search_000521,session_000521,équipement fitness,70,2025-10-08 08:50:28
search_000523,session_000523,ordinateur portable,27,2025-10-08 08:49:52
search_000524,session_000524,cosmétique bio,50,2025-10-08 08:50:43
search_000525,session_000525,équipement fitness,39,2025-10-08 08:51:34
search_000526,session_000526,cosmétique bio,15,2025-10-08 08:50:26
search_000527,session_000527,équipement fitness,85,2025-10-08 08:49:33
search_000529,session_000529,vêtement été,89,2025-10-08 08:49:33
search_000531,session_000531,cosmétique bio,66,2025-10-08 08:51:49
search_000533,session_000533,smartphone pas cher,5,2025-10-08 08:50:25
search_000534,session_000534,chaussures sport,79,2025-10-08 08:50:28
search_000536,session_000536,chaussures sport,19,2025-10-08 08:49:07
search_000539,session_000539,ordinateur portable,8,2025-10-08 08:48:53
search_000540,session_000540,cosmétique bio,52,2025-10-08 08:51:11
search_000541,session_000541,smartphone pas cher,89,2025-10-08 08:49:20
search_000542,session_000542,smartphone pas cher,23,2025-10-08 08:49:14
search_000543,session_000543,chaussures sport,65,2025-10-08 08:49:39
search_000544,session_000544,vêtement été,37,2025-10-08 08:50:42
search_000545,session_000545,équipement fitness,86,2025-10-08 08:51:24
search_000546,session_000546,décoration maison,58,2025-10-08 08:51:00
search_000548,session_000548,smartphone pas cher,74,2025-10-08 08:50:08
search_000549,session_000549,cadeau anniversaire,75,2025-10-08 08:51:32
search_000550,session_000550,cadeau anniversaire,25,2025-10-08 08:51:16
search_000551,session_000551,équipement fitness,65,2025-10-08 08:49:40
search_000553,session_000553,livre roman,39,2025-10-08 08:51:00
search_000555,session_000555,chaussures sport,34,2025-10-08 08:50:02
search_000556,session_000556,cosmétique bio,27,2025-10-08 08:48:57
search_000558,session_000558,ordinateur portable,49,2025-10-08 08:51:17
search_000559,session_000559,équipement fitness,51,2025-10-08 08:50:38
search_000561,session_000561,meuble salon,99,2025-10-08 08:49:59
search_000562,session_000562,smartphone pas cher,67,2025-10-08 08:49:56
search_000563,session_000563,décoration maison,39,2025-10-08 08:49:21
search_000564,session_000564,ordinateur portable,63,2025-10-08 08:49:08
search_000565,session_000565,vêtement été,65,2025-10-08 08:49:05
search_000566,session_000566,chaussures sport,29,2025-10-08 08:50:56
search_000571,session_000571,ordinateur portable,48,2025-10-08 08:50:31
search_000573,session_000573,équipement fitness,69,2025-10-08 08:51:39
search_000576,session_000576,cosmétique bio,75,2025-10-08 08:50:43
search_000577,session_000577,décoration maison,48,2025-10-08 08:49:02
search_000578,session_000578,livre roman,95,2025-10-08 08:51:24
search_000580,session_000580,ordinateur portable,92,2025-10-08 08:49:40
search_000581,session_000581,chaussures sport,41,2025-10-08 08:49:44
search_000582,session_000582,cadeau anniversaire,88,2025-10-08 08:51:04
search_000583,session_000583,meuble salon,29,2025-10-08 08:49:07
search_000585,session_000585,smartphone pas cher,12,2025-10-08 08:48:59
search_000586,session_000586,smartphone pas cher,78,2025-10-08 08:49:33
search_000587,session_000587,jeux enfants,22,2025-10-08 08:51:29
search_000588,session_000588,équipement fitness,39,2025-10-08 08:50:10
search_000589,session_000589,équipement fitness,98,2025-10-08 08:48:52
search_000591,session_000591,livre roman,42,2025-10-08 08:51:13
search_000592,session_000592,ordinateur portable,49,2025-10-08 08:50:41
search_000593,session_000593,livre roman,60,2025-10-08 08:50:14
search_000595,session_000595,cadeau anniversaire,34,2025-10-08 08:50:08
search_000596,session_000596,meuble salon,27,2025-10-08 08:49:03
search_000597,session_000597,équipement fitness,95,2025-10-08 08:49:38
search_000598,session_000598,meuble salon,78,2025-10-08 08:50:30
search_000600,session_000600,smartphone pas cher,87,2025-10-08 08:50:42
search_000601,session_000601,cadeau anniversaire,92,2025-10-08 08:51:21
search_000603,session_000603,smartphone pas cher,5,2025-10-08 08:49:16
search_000605,session_000605,cadeau anniversaire,64,2025-10-08 08:51:15
